title,price,rating,rating_value,page
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,2,4
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,3,4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,5,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,5,5
"Pop Gun War, Volume 1: Gift",18.97,One,1,5
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,2,5
Patience,10.16,Three,3,5
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,4,5
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,1,5
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,1,5
On a Midnight Clear,14.07,Three,3,5
Obsidian (Lux #1),14.86,Two,2,5
My Paris Kitchen: Recipes and Stories,33.37,Two,2,5
Masks and Shadows,56.4,Two,2,5
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,4,5
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,2,5
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,3,5
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,2,5
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,1,5
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,2,5
Join,35.67,Five,5,5
In the Country We Love: My Family Divided,22.0,Four,4,5
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,5,6
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,2,6
I am a Hero Omnibus Volume 1,54.63,Three,3,6
How to Be Miserable: 40 Strategies You Already Use,46.03,One,1,6
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,1,6
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,2,6
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,3,6
First and First (Five Boroughs #3),15.97,Four,4,6
Fifty Shades Darker (Fifty Shades #2),21.96,One,1,6
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,2,6
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,2,6
Danganronpa Volume 1,51.99,Four,4,6
Crown of Midnight (Throne of Glass #2),43.29,Three,3,6
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,4,6
Camp Midnight,17.08,Four,4,6
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,5,6
Burning,28.81,Three,3,6
Bossypants,49.46,Two,2,6
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,2,6
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,2,6
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,1,7
A World of Flavor: Your Gluten Free Passport,42.95,One,1,7
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,5,7
A Murder in Time,16.64,One,1,7
A Flight of Arrows (The Pathfinders #2),55.53,Five,5,7
A Fierce and Subtle Poison,28.13,Four,4,7
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,1,7
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five,5,7
You Are What You Love: The Spiritual Power of Habit,21.87,Four,4,7
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four,4,7
Tuesday Nights in 1980,21.04,Two,2,7
Tracing Numbers on a Train,41.6,Three,3,7
Throne of Glass (Throne of Glass #1),35.07,Three,3,7
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,1,7
Thirteen Reasons Why,52.72,One,1,7
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Four,4,7
The Wedding Dress,24.12,One,1,7
The Vacationers,42.15,Four,4,7
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Five,5,7
The Stranger,17.44,Four,4,7
The Shadow Hero (The Shadow Hero),33.14,One,1,8
The Secret (The Secret #1),27.37,Four,4,8
The Regional Office Is Under Attack!,51.36,Five,5,8
The Psychopath Test: A Journey Through the Madness Industry,36.0,Two,2,8
The Project,10.65,One,1,8
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,2,8
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,2,8
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,5,8
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,4,8
The Mistake (Off-Campus #2),43.29,Three,3,8
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,1,8
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two,2,8
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,1,8
The Kite Runner,41.82,Four,4,8
The House by the Lake,36.95,One,1,8
The Glittering Court (The Glittering Court #1),44.28,One,1,8
The Girl on the Train,55.02,Two,2,8
The Genius of Birds,17.24,One,1,8
The Emerald Mystery,23.15,Two,2,8
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,1,8
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three,3,9
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,5,9
The Art of War,33.34,Five,5,9
The Argonauts,10.93,Two,2,9
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,3,9
Suddenly in Love (Lake Haven #1),55.99,Two,2,9
Something More Than This,16.24,Four,4,9
Soft Apocalypse,26.12,Two,2,9
So You've Been Publicly Shamed,12.23,Two,2,9
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,2,9
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,3,9
Secrets and Lace (Fatal Hearts #1),20.27,One,1,9
Scarlett Epstein Hates It Here,43.55,Five,5,9
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,1,9
Redeeming Love,20.47,Five,5,9
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,1,9
Poems That Make Grown Women Cry,14.19,Four,4,9
"Nightingale, Sing",38.28,One,1,9
Night Sky with Exit Wounds,41.05,One,1,9
Mrs. Houdini,30.25,Five,5,9
Modern Romance,28.26,Five,5,10
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,One,1,10
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,2,10
Little Red,13.47,Three,3,10
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Five,5,10
Large Print Heart of the Pride,19.15,Two,2,10
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,4,10
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,One,1,10
Grumbles,22.16,Two,2,10
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,4,10
Frostbite (Vampire Academy #2),29.99,Five,5,10
Follow You Home,21.36,One,1,10
First Steps for New Christians (Print Edition),29.0,One,1,10
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,5,10
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,4,10
Eureka Trivia 6.0,54.59,Four,4,10
Drive: The Surprising Truth About What Motivates Us,34.95,Four,4,10
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,5,10
Doing It Over (Most Likely To #1),35.61,Three,3,10
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,3,10
Dark Notes,19.19,Five,5,11
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three,3,11
Close to You,49.46,Four,4,11
Chasing Heaven: What Dying Taught Me About Living,37.8,Two,2,11
Big Magic: Creative Living Beyond Fear,30.8,Three,3,11
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two,2,11
Beauty Restored (Riley Family Legacy Novellas #3),11.11,Two,2,11
Batman: The Long Halloween (Batman),36.5,Two,2,11
Batman: The Dark Knight Returns (Batman),15.38,Five,5,11
Ayumi's Violin,15.48,Two,2,11
Anonymous,46.82,Four,4,11
Amy Meets the Saints and Sages,18.46,Three,3,11
Amid the Chaos,36.58,One,1,11
Amatus,50.54,Five,5,11
Agnostic: A Spirited Manifesto,12.51,Five,5,11
Zealot: The Life and Times of Jesus of Nazareth,24.7,Three,3,11
You (You #1),43.61,Five,5,11
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,4,11
Wild Swans,14.36,Two,2,11
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Four,4,11
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Four,4,12
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Two,2,12
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,1,12
Walt Disney's Alice in Wonderland,12.96,Five,5,12
V for Vendetta (V for Vendetta Complete),37.1,Four,4,12
Until Friday Night (The Field Party #1),46.31,Two,2,12
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Two,2,12
Twenty Yawns,22.08,Two,2,12
Through the Woods,25.38,Two,2,12
This Is Where It Ends,27.12,Two,2,12
The Year of Magical Thinking,43.04,Two,2,12
The Wright Brothers,56.8,Four,4,12
The White Queen (The Cousins' War #1),25.91,Five,5,12
The Wedding Pact (The O'Malleys #2),32.61,Three,3,12
The Time Keeper,27.88,Five,5,12
The Testament of Mary,52.67,Four,4,12
The Star-Touched Queen,46.02,Five,5,12
The Songs of the Gods,44.48,Five,5,12
The Song of Achilles,37.4,Five,5,12
The Rosie Project (Don Tillman #1),54.04,One,1,12
The Power of Habit: Why We Do What We Do in Life and Business,16.88,Three,3,13
The Marriage of Opposites,28.08,Four,4,13
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,One,1,13
The Long Haul (Diary of a Wimpy Kid #9),44.07,One,1,13
The Loney,23.4,One,1,13
The Literature Book (Big Ideas Simply Explained),17.43,Three,3,13
The Last Mile (Amos Decker #2),54.21,Two,2,13
The Immortal Life of Henrietta Lacks,40.67,Two,2,13
The Hidden Oracle (The Trials of Apollo #1),52.26,Two,2,13
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three,3,13
The Guilty (Will Robie #4),13.82,Two,2,13
The First Hostage (J.B. Collins #2),25.85,Three,3,13
The Dovekeepers,48.78,One,1,13
The Darkest Lie,35.35,Five,5,13
The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four,4,13
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,One,1,13
The 14th Colony (Cotton Malone #11),39.24,One,1,13
That Darkness (Gardiner and Renner #1),13.92,One,1,13
Tastes Like Fear (DI Marnie Rome #3),10.69,One,1,13
Take Me with You,45.21,Three,3,13
Swell: A Year of Waves,45.58,One,1,14
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,5,14
Still Life with Bread Crumbs,26.41,Three,3,14
Steve Jobs,39.5,Five,5,14
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four,4,14
Someone Like You (The Harrisons #2),52.79,Five,5,14
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,4,14
Shtum,55.84,Four,4,14
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,3,14
salt.,46.78,Four,4,14
Robin War,47.82,Three,3,14
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,2,14
Rain Fish,23.57,Three,3,14
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Five,5,14
Pet Sematary,10.56,Three,3,14
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Three,3,14
Once Was a Time,18.28,Two,2,14
Old School (Diary of a Wimpy Kid #10),11.83,Five,5,14
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two,2,14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,2,14
My Name Is Lucy Barton,41.56,One,1,15
My Mrs. Brown,24.48,Three,3,15
My Kind of Crazy,40.36,One,1,15
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,One,1,15
More Than Music (Chasing the Dream #1),37.61,Two,2,15
Made to Stick: Why Some Ideas Survive and Others Die,38.85,Five,5,15
Luis Paints the World,53.95,Three,3,15
Luckiest Girl Alive,49.83,Three,3,15
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,2,15
Love Is a Mix Tape (Music #1),18.03,One,1,15
Looking for Lovely: Collecting the Moments that Matter,29.14,Five,5,15
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Four,4,15
Let It Out: A Journey Through Journaling,26.79,Five,5,15
Lady Midnight (The Dark Artifices #1),16.28,Five,5,15
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One,1,15
Island of Dragons (Unwanteds #7),29.65,One,1,15
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Four,4,15
I Am Pilgrim (Pilgrim #1),10.6,Four,4,15
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Five,5,15
"Hush, Hush (Hush, Hush #1)",47.02,Three,3,15
Hold Your Breath (Search and Rescue #1),28.82,One,1,16
Hamilton: The Revolution,58.79,Three,3,16
Greek Mythic History,10.23,Five,5,16
God: The Most Unpleasant Character in All Fiction,30.03,Five,5,16
Glory over Everything: Beyond The Kitchen House,45.84,Three,3,16
Feathers: Displays of Brilliant Plumage,49.05,Three,3,16
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four,4,16
Every Last Word,46.47,Three,3,16
Eligible (The Austen Project #4),27.09,Three,3,16
El Deafo,57.62,Five,5,16
Eight Hundred Grapes,14.39,Four,4,16
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,5,16
"Eat Fat, Get Thin",54.07,Two,2,16
Don't Get Caught,55.35,One,1,16
Doctor Sleep (The Shining #2),40.12,Two,2,16
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,5,16
Dear Mr. Knightley,11.21,Five,5,16
Daily Fantasy Sports,36.58,One,1,16
Crazy Love: Overwhelmed by a Relentless God,47.72,Two,2,16
Cometh the Hour (The Clifton Chronicles #6),25.01,Three,3,16
Code Name Verity (Code Name Verity #1),22.13,Four,4,17
Clockwork Angel (The Infernal Devices #1),44.14,One,1,17
City of Glass (The Mortal Instruments #3),56.02,Four,4,17
City of Fallen Angels (The Mortal Instruments #4),11.23,Four,4,17
City of Bones (The Mortal Instruments #1),43.28,One,1,17
City of Ashes (The Mortal Instruments #2),47.27,One,1,17
Cell,20.29,Four,4,17
Catching Jordan (Hundred Oaks),50.83,Three,3,17
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three,3,17
Carrie,46.23,Two,2,17
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Four,4,17
Brain on Fire: My Month of Madness,49.32,Five,5,17
Batman: Europa,32.01,Two,2,17
Barefoot Contessa Back to Basics,28.01,One,1,17
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five,5,17
Balloon Animals,17.03,Three,3,17
Art Ops Vol. 1,48.8,Three,3,17
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four,4,17
Angels Walking (Angels Walking #1),34.2,Two,2,17
Angels & Demons (Robert Langdon #1),51.48,Three,3,17
All the Light We Cannot See,29.87,Five,5,18
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,2,18
Abstract City,56.37,Five,5,18
A Time of Torment (Charlie Parker #14),48.35,Five,5,18
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,2,18
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two,2,18
A People's History of the United States,40.79,Two,2,18
A Man Called Ove,39.72,One,1,18
A Distant Mirror: The Calamitous 14th Century,14.58,Three,3,18
A Brush of Wings (Angels Walking #3),55.51,One,1,18
1491: New Revelations of the Americas Before Columbus,21.8,Three,3,18
"The Three Searches, Meaning, and the Story",13.33,Three,3,18
Searching for Meaning in Gailana,38.73,One,1,18
Rook,37.86,Four,4,18
My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two,2,18
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,1,18
Will You Won't You Want Me?,13.86,Three,3,18
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One,1,18
The Star-Touched Queen,32.3,Five,5,18
The Silent Sister (Riley MacPherson #1),46.29,Five,5,18
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,One,1,19
The Lonely City: Adventures in the Art of Being Alone,33.26,Two,2,19
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four,4,19
The Golden Condom: And Other Essays on Love Lost and Found,39.43,One,1,19
The Epidemic (The Program 0.6),14.44,Five,5,19
The Dinner Party,56.54,Two,2,19
The Diary of a Young Girl,59.9,Three,3,19
The Children,11.88,Three,3,19
Stars Above (The Lunar Chronicles #4.5),48.05,Two,2,19
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three,3,19
Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four,4,19
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One,1,19
Psycho: Sanitarium (Psycho #1.5),36.97,Five,5,19
Poisonous (Max Revere Novels #3),26.8,Three,3,19
One with You (Crossfire #5),15.71,Four,4,19
No Love Allowed (Dodge Cove #1),54.65,Four,4,19
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,4,19
Most Wanted,35.28,Three,3,19
"Love, Lies and Spies",20.55,Two,2,19
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five,5,19
Hide Away (Eve Duncan #20),11.84,One,1,20
Furiously Happy: A Funny Book About Horrible Things,41.46,Four,4,20
Everyday Italian: 125 Simple and Delicious Recipes,20.1,Five,5,20
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One,1,20
Eleanor & Park,56.51,Five,5,20
Dirty (Dive Bar #1),40.83,Four,4,20
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One,1,20
Boar Island (Anna Pigeon #19),59.48,Three,3,20
A Paris Apartment,39.01,Four,4,20
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One,1,20
Troublemaker: Surviving Hollywood and Scientology,48.39,Two,2,20
The Widow,27.26,Two,2,20
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four,4,20
The Improbability of Love,59.45,One,1,20
The Art of Startup Fundraising,21.0,Three,3,20
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,3,20
Sleeping Giants (Themis Files #1),48.74,One,1,20
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two,2,20
Playing with Fire,13.71,Three,3,20
Off the Hook (Fishing for Trouble #1),47.67,Three,3,20
Mothering Sunday,13.34,Two,2,21
"Mother, Can You Not?",16.89,Five,5,21
M Train,27.18,One,1,21
Lilac Girls,17.28,Two,2,21
Lies and Other Acts of Love,45.14,One,1,21
Lab Girl,40.85,One,1,21
Keep Me Posted,20.46,Four,4,21
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,Three,3,21
Grey (Fifty Shades #4),48.49,Four,4,21
"Exit, Pursued by a Bear",51.34,Four,4,21
Daredevils,16.34,Three,3,21
Cravings: Recipes for What You Want to Eat,20.5,Three,3,21
Born for This: How to Find the Work You Were Meant to Do,21.59,Five,5,21
Arena,21.36,Four,4,21
Adultery,20.88,Five,5,21
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Three,3,21
A Gentleman's Position (Society of Gentlemen #3),14.75,Five,5,21
11/22/63,48.48,Three,3,21
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Two,2,21
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,Five,5,21
Without Shame,48.27,Five,5,22
Watchmen,58.05,Four,4,22
Unlimited Intuition Now,58.87,Four,4,22
Underlying Notes,11.82,Two,2,22
The Shack,28.03,One,1,22
The New Brand You: Your New Image Makes the Sale for You,44.05,Five,5,22
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four,4,22
The Flowers Lied,16.68,Two,2,22
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One,1,22
The Book of Mormon,24.57,Three,3,22
The Art and Science of Low Carbohydrate Living,52.98,Five,5,22
The Alien Club,54.4,One,1,22
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Five,5,22
Nap-a-Roo,25.08,One,1,22
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,4,22
Modern Day Fables,47.44,Two,2,22
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,One,1,22
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,4,22
Dress Your Family in Corduroy and Denim,43.68,Three,3,22
Don't Forget Steven,33.23,One,1,22
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Two,2,23
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,Four,4,23
A Shard of Ice (The Black Symphony Saga #1),56.63,Three,3,23
A Hero's Curse (The Unseen Chronicles #1),50.49,Three,3,23
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Two,2,23
"Zero to One: Notes on Startups, or How to Build the Future",34.06,Three,3,23
Why Not Me?,17.76,One,1,23
When Breath Becomes Air,39.36,Two,2,23
